Year_of_Sampling	Date_of_Sampling 	sample-id	forward-absolute-filepath 	reverse-absolute-filepath 	Location	Region	Berry_Type	Year_of_Planting 	Rootstock	Genotype	Treatment	Replicate	Vine	Observed_Diverstiy	Chao1_Diversity	Shannon_Diversity	Evenness_Diversity	AMF_Colonization	Total_Hyphae	Total_Arbuscules	Total_Vesicles	Total_None	Average_Cluster_Count	Average_Cluster_Weight	Average_Harvest	Bulk_Density	pH	EC	Nitrate	Ammonium	Total_Inorganic_N	PMN	Phosphate	N_Leaf	P_Leaf	K_Leaf	S_Leaf	B_Leaf	Ca_Leaf	Mg_Leaf	Zn_Leaf	Mn_Leaf	Fe_Leaf	Cu_Leaf	POXC	MBC	Min_C	Clay_Content	Sand_Content	Normal_Precipitation_cm	Normal_Temperature_C	Vineyard_Age_yr	Soil_K	Soil_Na	Soil_Ca	Soil_Mg	CEC	Soil_Zn	Soil_Mn	Soil_Cu	Soil_Fe	total_anthocyanins	quercetin_aglycone 	quercetin_glycosides 	grape_reaction_product 	tannin	polymeric_anthocyaninstannin_index	polymeric_anthocyanins 	catechintannin_index	catechin	gallic_acid	caftaric_acid 	caffeic_acid 	astilbin																									
2022	25-Jul-22	AR025	/Users/amandarodriguez/Desktop/sequencing-data/AR025_S11_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR025_S11_L001_R2_001.fastq.gz	CCA-PN1	Central CA	Pinot Noir (red)	1999	5C	PN x 5C	4	3	2	103	103	3.03	0.65						30.3	1.47	57.52	1.2	7.85	264.8	0.0	0.4	0.40	2.09	27.48	21300	4450	10400	4340	51	16600	2600	63.8	71.1	554	6.3	489.60	194.20	0.607	22.26	26.24	40.7	15.15	23	152	103	3006	727.785	21.82	  3.4	 11.7	  2.0	  4.1	527	68			229	0.022	5	0.502	115	NA																												
2022	25-Jul-22	AR028	/Users/amandarodriguez/Desktop/sequencing-data/AR028_S12_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR028_S12_L001_R2_001.fastq.gz	CCA-CHAR2	Central CA	CH (white)	1998	5C	CH x 5C	4	1	1	80	80	2.40	0.55	80	38	0	13	10	33.9	3.96	137.77	1.1	7.5	221.5	0.0	0.27	0.27	1.97	29.14	22000	3430	9700	5380	63.6	16600	3110	109.7	73	849	5.8	409.4	184	0.92	22.4	23.9	40.7	15.15	24	118	 87	2633.256	664.605	19.29	  3.3	 21.8	  1.6	  6.3	NA	2.3	< 0.2	0.6	13.2				2.9	< 0.2	41.2	< 0.2	0.2																									
2022	25-Jul-22	AR031	/Users/amandarodriguez/Desktop/sequencing-data/AR031_S13_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR031_S13_L001_R2_001.fastq.gz	CCA-CHAR2	Central CA	CH (white)	1998	5C	CH x 5C	4	1	2	81	81	2.81	0.64	94	46	1	7	3	33.9	3.96	137.77	1.1	7.5	221.5	0.0	0.27	0.27	1.97	29.14	22000	3430	9700	5380	63.6	16600	3110	109.7	73	849	5.8	409.4	184	0.92	22.4	23.9	40.7	15.15	24	118	 87	2633.256	664.605	19.29	  3.3	 21.8	  1.6	  6.3	NA	2.3	< 0.2	0.6	13.2				2.9	< 0.2	41.2	< 0.2	0.2																									
2022	25-Jul-22	AR034	/Users/amandarodriguez/Desktop/sequencing-data/AR034_S14_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR034_S14_L001_R2_001.fastq.gz	CCA-CHAR2	Central CA	CH (white)	1998	5C	CH x 5C	4	1	3	91	91	2.45	0.54	92	42	3	13	4	33.9	3.96	137.77	1.1	7.5	221.5	0.0	0.27	0.27	1.97	29.14	22000	3430	9700	5380	63.6	16600	3110	109.7	73	849	5.8	409.4	184	0.92	22.4	23.9	40.7	15.15	24	118	 87	2633.256	664.605	19.29	  3.3	 21.8	  1.6	  6.3	NA	2.3	< 0.2	0.6	13.2				2.9	< 0.2	41.2	< 0.2	0.2																									
2022	25-Jul-22	AR037	/Users/amandarodriguez/Desktop/sequencing-data/AR037_S15_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR037_S15_L001_R2_001.fastq.gz	CCA-CHAR2	Central CA	CH (white)	1998	5C	CH x 5C	4	2	1	33	33	1.80	0.51	82	38	0	8	9	35.2	3.74	146.19	1.1	7.6	233.9	0.0	0.22	0.22	8.74	20.6	20400	3840	9600	4900	56.1	16400	2710	112.9	73.7	813	6.9	259.2	258.5	0.68	22.4	23.9	40.7	15.15	24	115	 94	2689.368	618.435	19.21	  3.2	 16.8	  1.9	  5.7	NA	2.4	< 0.2	0.6	6.8				< 0.2	< 0.2	41.1	< 0.2	0.2																									
2022	25-Jul-22	AR040	/Users/amandarodriguez/Desktop/sequencing-data/AR040_S16_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR040_S16_L001_R2_001.fastq.gz	CCA-CHAR2	Central CA	CH (white)	1998	5C	CH x 5C	4	2	2	60	60	2.38	0.58	92	44	0	11	4	35.2	3.74	146.19	1.1	7.6	233.9	0.0	0.22	0.22	8.74	20.6	20400	3840	9600	4900	56.1	16400	2710	112.9	73.7	813	6.9	259.2	258.5	0.68	22.4	23.9	40.7	15.15	24	115	 94	2689.368	618.435	19.21	  3.2	 16.8	  1.9	  5.7	NA	2.4	< 0.2	0.6	6.8				< 0.2	< 0.2	41.1	< 0.2	0.2																									
2022	25-Jul-22	AR043	/Users/amandarodriguez/Desktop/sequencing-data/AR043_S17_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR043_S17_L001_R2_001.fastq.gz	CCA-CHAR2	Central CA	CH (white)	1998	5C	CH x 5C	4	2	3	75	75	2.04	0.47	92	43	0	11	4	35.2	3.74	146.19	1.1	7.6	233.9	0.0	0.22	0.22	8.74	20.6	20400	3840	9600	4900	56.1	16400	2710	112.9	73.7	813	6.9	259.2	258.5	0.68	22.4	23.9	40.7	15.15	24	115	 94	2689.368	618.435	19.21	  3.2	 16.8	  1.9	  5.7	NA	2.4	< 0.2	0.6	6.8				< 0.2	< 0.2	41.1	< 0.2	0.2																									
2022	26-Jul-22	AR044	/Users/amandarodriguez/Desktop/sequencing-data/AR044_S18_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR044_S18_L001_R2_001.fastq.gz	CCA-CHAR2	Central CA	CH (white)	1999	5C	CH x 5C	4	2	3	75	75	2.04	0.47	92	43	0	11	4	35.2	3.74	146.19	1.1	7.6	233.9	0.0	0.22	0.22	8.74	20.6	20400	3840	9600	4900	56.1	16400	2710	112.9	73.7	813	6.9	259.2	258.5	0.68	22.4	23.9	40.7	15.15	23	115	 94	2689.368	618.435	19.21	  3.2	 16.8	  1.9	  5.7	NA	2.4	< 0.2	0.6	6.8				< 0.2	< 0.2	41.1	< 0.2	0.2																									
2022	26-Jul-22	AR046	/Users/amandarodriguez/Desktop/sequencing-data/AR046_S19_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR046_S19_L001_R2_001.fastq.gz	CCA-CHAR2	Central CA	CH (white)	1998	5C	CH x 5C	4	3	1	104	104	2.83	0.61	94	46	0	9	3	37.4	3.62	172.64	1.1	7.2	414.9	3.86	0.37	4.23	9.26	26.73	21000	3130	9800	4580	57.8	18200	3250	102.3	84.2	809	6.2	371.9	257.6	1.14	22.4	23.9	40.7	15.15	24	135	 96	2759.508	624.51	19.68	  4.0	 25.4	  2.1	  7.8	NA	2.2	< 0.2	0.7	14.8				4.5	< 0.2	38.8	< 0.2	0.3																									
2022	26-Jul-22	AR049	/Users/amandarodriguez/Desktop/sequencing-data/AR049_S20_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR049_S20_L001_R2_001.fastq.gz	CCA-CHAR2	Central CA	CH (white)	1998	5C	CH x 5C	4	3	2	39	39	0.97	0.26	92	43	1	11	4	37.4	3.62	172.64	1.1	7.2	414.9	3.86	0.37	4.23	9.26	26.73	21000	3130	9800	4580	57.8	18200	3250	102.3	84.2	809	6.2	371.9	257.6	1.14	22.4	23.9	40.7	15.15	24	135	 96	2759.508	624.51	19.68	  4.0	 25.4	  2.1	  7.8	NA	2.2	< 0.2	0.7	14.8				4.5	< 0.2	38.8	< 0.2	0.3																									
